경도,위도,최근접 지하철,역과 거리(m),시군구,번지,본번,부번,전월세구분,면적(제곱m),계약월,계약일,보증금(만원),월세(만원),총비용,층,건축년도,도로명,계약기간(개월),계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
127.055223,37.593167,회기역,451,서울특별시 동대문구 회기동 54-127,54,127,덕흥홈타운,월세,23.04,202212,29,1000,55,1660,4,2002,회기로23다길 19-2,12,신규,-,0,0
127.055223,37.593167,회기역,451,서울특별시 동대문구 회기동 54-127,54,127,덕흥홈타운,월세,36.05,202302,5,2000,80,2960,2,2002,회기로23다길 19-2,12,신규,-,0,0
127.0493794,37.589677,회기역,765,서울특별시 동대문구 회기동 102-192,102,192,동일아트맨션(102-192),전세,63.2,202301,30,27000,0,27000,2,2000,회기로12길 47-4,-,-,-, , 
127.0479566,37.5914303,회기역,909,서울특별시 동대문구 회기동 60-218,60,218,동일아트맨션19차나동,전세,52.53,202310,24,20000,0,20000,5,2003,회기로 108-10,-,신규,-,0,0
127.050075,37.589359,회기역,705,서울특별시 동대문구 회기동 102-142,102,142,리치팰리스,전세,20.43,202301,5,16000,0,16000,5,2019,홍릉로24길 131,-,신규,-,0,0
127.0538699,37.593784,회기역,577,서울특별시 동대문구 회기동 3-140,3,140,민족통일MJ캠퍼스경희대3차,월세,17.2,202306,5,3000,100,4200,2,2023,회기로23가길 59-4,12,신규,-,0,0
127.0538699,37.593784,회기역,577,서울특별시 동대문구 회기동 3-140,3,140,민족통일MJ캠퍼스경희대3차,월세,19.96,202307,13,1000,120,2440,2,2023,회기로23가길 59-4,12,신규,-,0,0
127.0538699,37.593784,회기역,577,서울특별시 동대문구 회기동 3-140,3,140,민족통일MJ캠퍼스경희대3차,월세,28.74,202310,14,15000,60,15720,3,2023,회기로23가길 59-4,12,신규,-,0,0
127.0534703,37.5898426,회기역,404,서울특별시 동대문구 회기동 65-77,65,77,백합빌라A,월세,97.51,202211,3,500,40,980,1,1993,이문로3길 24,12,신규,-,0,0
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,전세,20.84,202211,18,23000,0,23000,7,2020,회기로25길 22,-,신규,-,0,0
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,전세,21.8,202211,23,20000,0,20000,4,2020,회기로25길 22,-,갱신,-,"18,000",0
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,전세,21.24,202211,23,16000,0,16000,7,2020,회기로25길 22,-,갱신,-,"15,000",0
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,전세,9.85,202212,3,10000,0,10000,5,2020,회기로25길 22,-,-,-, , 
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,전세,22.92,202212,13,17300,0,17300,6,2020,회기로25길 22,-,-,-, , 
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,전세,22.6,202212,13,21000,0,21000,6,2020,회기로25길 22,-,-,-, , 
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,전세,20.84,202301,6,23000,0,23000,5,2020,회기로25길 22,-,신규,-,0,0
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,월세,10.21,202301,10,6000,55,7320,4,2020,회기로25길 22,24,신규,-,0,0
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,전세,10.21,202301,31,10000,0,10000,5,2020,회기로25길 22,-,신규,-,0,0
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,전세,21.8,202302,4,21000,0,21000,5,2020,회기로25길 22,-,갱신,-,"20,000",0
127.0556101,37.5910171,회기역,255,서울특별시 동대문구 회기동 348-2,348,2,예향,전세,21.8,202307,8,22000,0,22000,4,2020,회기로25길 22,-,신규,-,0,0
127.0483389,37.5912594,회기역,872,서울특별시 동대문구 회기동 60-224,60,224,원빌리지,월세,22.75,202211,11,500,52,1124,2,2003,회기로 108-20,12,신규,-,0,0
127.0483389,37.5912594,회기역,872,서울특별시 동대문구 회기동 60-224,60,224,원빌리지,월세,22.75,202306,13,500,52,1124,2,2003,회기로 108-20,12,신규,-,0,0
127.0529969,37.5894196,회기역,447,서울특별시 동대문구 회기동 65-72,65,72,카이벨로체,월세,29.92,202212,22,8000,65,8780,3,2018,이문로1길 27,12,신규,-,0,0
127.0556427,37.593391,회기역,453,서울특별시 동대문구 회기동 54-47,54,47,탑스빌,전세,62.05,202309,13,20000,0,20000,3,2002,회기로23다길 18,-,신규,-,0,0
127.0496756,37.5933072,회기역,836,서울특별시 동대문구 회기동 109-99,109,99,한스빌라A동,월세,28.35,202302,3,1000,50,1600,1,1996,경희대로1나길 49,12,신규,-,0,0
127.0498416,37.5933302,회기역,824,서울특별시 동대문구 회기동 109-154,109,154,한스빌라B동,월세,25.26,202212,21,1000,56,1672,1,1996,경희대로1나길 51,12,신규,-,0,0
127.0522123,37.590744,회기역,526,서울특별시 동대문구 회기동 64-15,64,15,화이트홀,전세,13.8,202212,24,10500,0,10500,3,2014,이문로3길 52-1,-,신규,-,0,0
127.0522123,37.590744,회기역,526,서울특별시 동대문구 회기동 64-15,64,15,화이트홀,전세,15.53,202305,2,10000,0,10000,4,2014,이문로3길 52-1,-,신규,-,0,0
127.0522123,37.590744,회기역,526,서울특별시 동대문구 회기동 64-15,64,15,화이트홀,전세,21.82,202310,2,13000,0,13000,3,2014,이문로3길 52-1,-,갱신,사용,"12,000",0
127.0522123,37.590744,회기역,526,서울특별시 동대문구 회기동 64-15,64,15,화이트홀,전세,21.82,202310,2,13000,0,13000,3,2014,이문로3길 52-1,-,-,-, , 
127.0483983,37.5904341,회기역,855,서울특별시 동대문구 회기동 103-206,103,206,회기동다세대주택,전세,11.54,202303,24,10000,0,10000,4,2006,회기로10가길 20,-,신규,-,0,0
127.0483983,37.5904341,회기역,855,서울특별시 동대문구 회기동 103-206,103,206,회기동다세대주택,전세,69.2,202310,7,22500,0,22500,2,2006,회기로10가길 20,-,신규,-,0,0
127.0572521,37.5908648,회기역,139,서울특별시 동대문구 휘경동 183-167,183,167,(183-167),월세,20.7,202304,19,500,58,1370,3,2002,회기로31나길 37,15,신규,-,0,0
