경도,위도,최근접 지하철,역과 거리(m),시군구,번지,본번,부번,전월세구분,면적(제곱m),계약월,계약일,보증금(만원),월세(만원),총비용,층,건축년도,도로명,계약기간(개월),계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
127.0477493,37.5847267,청량리역,450,서울특별시 동대문구 청량리동 53-15,53,15,(53-15),월세,13.33,202309,21,10000,10,10240,4,2012,왕산로47길 57,24,-,-, , 
127.0477493,37.5847267,청량리역,450,서울특별시 동대문구 청량리동 53-15,53,15,(53-15),월세,13.33,202310,28,6400,25,7000,3,2012,왕산로47길 57,24,-,-, , 
127.0475835,37.5845476,청량리역,433,서울특별시 동대문구 청량리동 53-21,53,21,(53-21),전세,50.22,202212,8,13000,0,13000,2,2002,왕산로43길 40,-,신규,-,0,0
127.0475835,37.5845476,청량리역,433,서울특별시 동대문구 청량리동 53-21,53,21,(53-21),전세,53.18,202212,8,13000,0,13000,1,2002,왕산로43길 40,-,갱신,-,"8,500",0
127.0475835,37.5845476,청량리역,433,서울특별시 동대문구 청량리동 53-21,53,21,(53-21),전세,50.22,202212,8,13000,0,13000,2,2002,왕산로43길 40,-,-,-, , 
127.0481777,37.586171,청량리역,606,서울특별시 동대문구 청량리동 46-18,46,18,가단빌라,전세,48,202304,2,20500,0,20500,4,2002,왕산로45길 66,-,갱신,사용,"19,950",0
127.0481777,37.586171,청량리역,606,서울특별시 동대문구 청량리동 46-18,46,18,가단빌라,월세,52.89,202305,30,3000,100,5400,1,2002,왕산로45길 66,24,신규,-,0,0
127.0481777,37.586171,청량리역,606,서울특별시 동대문구 청량리동 46-18,46,18,가단빌라,전세,57.69,202306,29,24000,0,24000,2,2002,왕산로45길 66,-,신규,-,0,0
127.0481777,37.586171,청량리역,606,서울특별시 동대문구 청량리동 46-18,46,18,가단빌라,월세,29.03,202307,19,10000,25,10600,2,2002,왕산로45길 66,24,신규,-,0,0
127.0481777,37.586171,청량리역,606,서울특별시 동대문구 청량리동 46-18,46,18,가단빌라,전세,52.98,202307,21,22000,0,22000,4,2002,왕산로45길 66,-,신규,-,0,0
127.0437174,37.5863308,청량리역,753,서울특별시 동대문구 청량리동 445-35,445,35,경동그린타운,전세,56.67,202301,28,26200,0,26200,3,2003,홍릉로18길 5,-,갱신,사용,"25,000",0
