역이름,역지역,x,y,호선
을지로3가역,수도권,37.56627618,126.9909675,02호선
을지로4가역,수도권,37.5666369,126.997623,02호선
동대문역사문화공원역,수도권,37.56564549,127.0089872,02호선
신당역,수도권,37.56566224,127.0194685,02호선
한양대역,수도권,37.55570879,127.0436172,02호선
뚝섬역,수도권,37.54723796,127.0473692,02호선
성수역,수도권,37.54458522,127.0560579,02호선
건대입구역,수도권,37.54039761,127.0692029,02호선
구의역,수도권,37.53716086,127.0861718,02호선
잠실나루역,수도권,37.5206944,127.1037997,02호선
잠실역,수도권,37.51330927,127.1002152,02호선
용답역,수도권,37.56212098,127.0508873,02호선
도곡역,수도권,37.49097578,127.0554977,03호선
대치역,수도권,37.49448585,127.0631898,03호선
학여울역,수도권,37.496878,127.071153,03호선
대청역,수도권,37.49370112,127.0795179,03호선
일원역,수도권,37.48398507,127.0841207,03호선
수서역,수도권,37.48528432,127.1044517,03호선
가락시장역,수도권,37.49309205,127.1182582,03호선
경찰병원역,수도권,37.49598689,127.1244824,03호선
오금역,수도권,37.50212807,127.1279306,03호선
당고개역,수도권,37.67020604,127.0790485,04호선
상계역,수도권,37.66071334,127.0734171,04호선
노원역,수도권,37.65634036,127.0634401,04호선
창동역,수도권,37.65332049,127.0476405,04호선
쌍문역,수도권,37.6485318,127.0346516,04호선
수유역,수도권,37.63786648,127.0254921,04호선
미아역,수도권,37.62664008,127.026032,04호선
미아사거리역,수도권,37.61326845,127.0300821,04호선
길음역,수도권,37.60337676,127.02505,04호선
성신여대입구역,수도권,37.59296272,127.0171204,04호선
한성대입구역,수도권,37.58840479,127.0060008,04호선
혜화역,수도권,37.5820259,127.0019246,04호선
동대문역,수도권,37.571664,127.010618,04호선
동대문역사문화공원역,수도권,37.56564549,127.0089872,04호선
충무로역,수도권,37.56139298,126.9941372,04호선
명동역,수도권,37.56095986,126.9863956,04호선
회현역,수도권,37.55876024,126.9784282,04호선
서울역,수도권,37.55331631,126.9697383,04호선
숙대입구역,수도권,37.54459523,126.9721181,04호선
삼각지역,수도권,37.53443213,126.9729139,04호선
신용산역,수도권,37.52925915,126.9679605,04호선
이촌역,수도권,37.52244891,126.9733255,04호선
동작역,수도권,37.50297056,126.980299,04호선
총신대입구역,수도권,37.48678878,126.9822028,04호선
