long,lat,cbd_m,gbd_m,ybd_m,north_hangang,district,address,jibun,station,station_m,univ,univ_m,road_m,scale,junse,month,date,guarantee,dong,rent_month,build,new_address,term,contract1,contract2,contract3...26,contract3...27,build_age,station_km,univ_km,cbd_km,gbd_km,ybd_km,scaled_guarantee,predicted,residuals,under_rated
126.9463332,37.5562246,4084.230641,10609.49292,2923.018084,1,nw,서울특별시 마포구 염리동,*,이대역,65,이화여자대학교,611,8m미만,20.97,1,202306,29,9000,염리동,0,1992,대흥로30길,202307~202507,신규,-,0,0,31,0.065,0.611,4.084230641,10.60949292,2.923018084,429.1845494,8743.85279,256.1472103,0
126.9274464,37.5589391,3784.962111,12190.31545,4463.445081,1,nw,서울특별시 마포구 염리동,*,홍대입구역,399,홍익대학교,926,8m미만,23.1,1,202306,27,15000,염리동,0,1960,신촌로,202308~202508,신규,-,0,0,63,0.399,0.926,3.784962111,12.19031545,4.463445081,649.3506494,5065.740496,9934.259504,0
126.9492841,37.548666,3579.193894,9949.164301,3102.188828,1,nw,서울특별시 마포구 염리동,1**,공덕역,496,서강대학교,748,8m미만,23.81,1,202302,3,12000,염리동,0,2018,마포대로11가길,202302~202502,신규,-,0,0,5,0.496,0.748,3.579193894,9.949164301,3.102188828,503.9899202,12144.92938,-144.9293814,1
126.9453355,37.5467668,3188.544039,10153.30217,3507.883524,1,nw,서울특별시 마포구 염리동,1*,대흥역,271,서강대학교,580,12m미만,26.9,1,202310,21,12000,염리동,0,1990,숭문길,202311~202511,신규,-,0,0,33,0.271,0.58,3.188544039,10.15330217,3.507883524,446.0966543,9689.414875,2310.585125,0
126.9455106,37.5477798,3283.885653,10192.6319,3429.632191,1,nw,서울특별시 마포구 염리동,9*,대흥역,269,서강대학교,508,12m미만,30,1,202304,4,10000,염리동,0,1994,숭문4길,-,-,-,,,29,0.269,0.508,3.283885653,10.1926319,3.429632191,333.3333333,10893.44195,-893.4419516,1
126.9463332,37.5562246,4084.230641,10609.49292,2923.018084,1,nw,서울특별시 마포구 염리동,*,이대역,65,이화여자대학교,611,8m미만,30.1,1,202303,10,12000,염리동,0,1989,대흥로30길,202304~202504,신규,-,0,0,34,0.065,0.611,4.084230641,10.60949292,2.923018084,398.6710963,10496.80338,1503.196622,0
126.9484685,37.5492042,3574.597586,10041.41261,3124.935726,1,nw,서울특별시 마포구 염리동,2*,대흥역,558,서강대학교,661,8m미만,32.18,1,202308,1,13000,염리동,0,1998,마포대로11다길,202308~202508,신규,-,0,0,25,0.558,0.661,3.574597586,10.04141261,3.124935726,403.9776259,11615.45799,1384.542012,0
126.9484685,37.5492042,3574.597586,10041.41261,3124.935726,1,nw,서울특별시 마포구 염리동,2*,대흥역,558,서강대학교,661,8m미만,33,1,202303,27,14000,염리동,0,1998,마포대로11다길,202304~202504,신규,-,0,0,25,0.558,0.661,3.574597586,10.04141261,3.124935726,424.2424242,11805.41407,2194.585928,0
126.9453355,37.5467668,3188.544039,10153.30217,3507.883524,1,nw,서울특별시 마포구 염리동,8*,대흥역,271,서강대학교,580,8m미만,35.6,1,202301,5,13000,염리동,0,1965,숭문길,202301~202501,신규,-,0,0,58,0.271,0.58,3.188544039,10.15330217,3.507883524,365.1685393,8687.733855,4312.266145,0
126.9460953,37.5476046,3302.745284,10137.93673,3398.822762,1,nw,서울특별시 마포구 염리동,1**,대흥역,320,서강대학교,559,8m미만,36.45,1,202301,12,18000,염리동,0,1991,숭문4안길,202302~202502,신규,-,0,0,32,0.32,0.559,3.302745284,10.13793673,3.398822762,493.8271605,11978.21854,6021.78146,0
126.9453355,37.5467668,3188.544039,10153.30217,3507.883524,1,nw,서울특별시 마포구 염리동,9*,대흥역,271,서강대학교,580,8m미만,39.53,1,202310,9,10000,염리동,0,1993,숭문길,202311~202511,신규,-,0,0,30,0.271,0.58,3.188544039,10.15330217,3.507883524,252.972426,12977.25013,-2977.250125,1
126.9455106,37.5477798,3283.885653,10192.6319,3429.632191,1,nw,서울특별시 마포구 염리동,1**,대흥역,269,서강대학교,508,12m미만,45,1,202311,6,18000,염리동,0,1994,숭문4길,202312~202512,신규,-,0,0,29,0.269,0.508,3.283885653,10.1926319,3.429632191,400,14368.24837,3631.751634,0
