205,435,0.47126436781609193,신림동
166,485,0.3422680412371134,봉천동
123,210,0.5857142857142857,면목동
122,150,0.8133333333333334,미아동
102,124,0.8225806451612904,수유동
89,193,0.46113989637305697,신길동
89,122,0.7295081967213115,독산동
86,99,0.8686868686868687,천호동
85,236,0.3601694915254237,중곡동
83,186,0.44623655913978494,상도동
82,116,0.7068965517241379,시흥동
82,97,0.845360824742268,화곡동
72,112,0.6428571428571429,대림동
66,88,0.75,구로동
63,225,0.28,사당동
61,79,0.7721518987341772,불광동
56,76,0.7368421052631579,성내동
50,90,0.5555555555555556,중화동
50,85,0.5882352941176471,망우동
49,55,0.8909090909090909,신월동
47,55,0.8545454545454545,방학동
46,51,0.9019607843137255,상계동
44,57,0.7719298245614035,역촌동
40,53,0.7547169811320755,풍납동
40,48,0.8333333333333334,창동
40,44,0.9090909090909091,마천동
38,55,0.6909090909090909,이문동
38,50,0.76,공릉동
36,53,0.6792452830188679,장위동
35,43,0.813953488372093,응암동
34,45,0.7555555555555555,석관동
33,57,0.5789473684210527,묵동
33,43,0.7674418604651163,개봉동
31,60,0.5166666666666667,전농동
31,50,0.62,신정동
30,61,0.4918032786885246,신당동
30,53,0.5660377358490566,대방동
30,41,0.7317073170731707,고척동
29,71,0.4084507042253521,신대방동
29,47,0.6170212765957447,정릉동
29,42,0.6904761904761905,갈현동
29,32,0.90625,방화동
27,38,0.7105263157894737,신사동
26,47,0.5531914893617021,휘경동
26,34,0.7647058823529411,거여동
26,30,0.8666666666666667,도봉동
25,30,0.8333333333333334,보광동
25,28,0.8928571428571429,공항동
24,83,0.2891566265060241,방배동
24,29,0.8275862068965517,쌍문동
24,26,0.9230769230769231,오류동
23,114,0.20175438596491227,자양동
23,55,0.41818181818181815,군자동
23,26,0.8846153846153846,번동
22,113,0.19469026548672566,구의동
22,34,0.6470588235294118,녹번동
22,33,0.6666666666666666,고덕동
22,32,0.6875,남가좌동
21,56,0.375,연희동
21,49,0.42857142857142855,목동
21,41,0.5121951219512195,상봉동
21,35,0.6,삼전동
21,30,0.7,북가좌동
21,29,0.7241379310344828,암사동
20,50,0.4,성수동2가
20,32,0.625,북아현동
19,41,0.4634146341463415,노량진동
19,35,0.5428571428571428,후암동
19,32,0.59375,종암동
19,32,0.59375,석촌동
18,57,0.3157894736842105,역삼동
18,34,0.5294117647058824,제기동
18,20,0.9,창신동
17,33,0.5151515151515151,용두동
17,30,0.5666666666666667,도림동
17,23,0.7391304347826086,등촌동
16,41,0.3902439024390244,논현동
16,22,0.7272727272727273,대조동
15,26,0.5769230769230769,홍제동
15,25,0.6,방이동
15,21,0.7142857142857143,하월곡동
14,29,0.4827586206896552,가리봉동
13,33,0.3939393939393939,성수동1가
13,27,0.48148148148148145,삼성동
13,14,0.9285714285714286,길동
12,54,0.2222222222222222,화양동
12,35,0.34285714285714286,양재동
12,33,0.36363636363636365,답십리동
12,27,0.4444444444444444,장안동
12,18,0.6666666666666666,홍은동
11,36,0.3055555555555556,능동
11,28,0.39285714285714285,이태원동
11,27,0.4074074074074074,하왕십리동
11,25,0.44,상도1동
11,22,0.5,공덕동
10,44,0.22727272727272727,대치동
10,25,0.4,송파동
10,23,0.43478260869565216,서교동
10,18,0.5555555555555556,청량리동
10,18,0.5555555555555556,삼선동1가
10,15,0.6666666666666666,구산동
9,38,0.23684210526315788,망원동
9,32,0.28125,남현동
9,29,0.3103448275862069,잠실동
9,26,0.34615384615384615,회기동
9,24,0.375,성산동
9,20,0.45,반포동
9,18,0.5,문정동
9,14,0.6428571428571429,오금동
9,11,0.8181818181818182,길음동
9,11,0.8181818181818182,상월곡동
9,10,0.9,상일동
8,43,0.18604651162790697,송정동
8,22,0.36363636363636365,도화동
8,15,0.5333333333333333,개포동
8,14,0.5714285714285714,동숭동
8,13,0.6153846153846154,청파동1가
8,12,0.6666666666666666,금호동3가
8,11,0.7272727272727273,신내동
8,9,0.8888888888888888,아현동
8,9,0.8888888888888888,응봉동
7,22,0.3181818181818182,일원동
7,21,0.3333333333333333,마장동
7,18,0.3888888888888889,사근동
7,16,0.4375,가락동
7,16,0.4375,당산동1가
7,13,0.5384615384615384,영등포동
7,12,0.5833333333333334,숭인동
7,9,0.7777777777777778,안암동5가
7,9,0.7777777777777778,동빙고동
6,28,0.21428571428571427,용답동
6,27,0.2222222222222222,서초동
6,20,0.3,창천동
6,14,0.42857142857142855,용산동2가
6,9,0.6666666666666666,둔촌동
6,8,0.75,행촌동
6,7,0.8571428571428571,내발산동
6,7,0.8571428571428571,서계동
5,10,0.5,가산동
5,9,0.5555555555555556,본동
5,9,0.5555555555555556,동선동3가
5,9,0.5555555555555556,청파동3가
5,7,0.7142857142857143,월계동
5,6,0.8333333333333334,궁동
5,6,0.8333333333333334,신창동
5,5,1.0,안암동3가
5,5,1.0,효창동
4,33,0.12121212121212122,행당동
4,20,0.2,합정동
4,17,0.23529411764705882,상암동
4,9,0.4444444444444444,보문동6가
4,9,0.4444444444444444,한남동
4,8,0.5,노고산동
4,8,0.5,상수동
4,6,0.6666666666666666,우이동
4,6,0.6666666666666666,금호동2가
4,5,0.8,당산동6가
4,5,0.8,청파동2가
4,4,1.0,온수동
3,23,0.13043478260869565,염리동
3,22,0.13636363636363635,연남동
3,20,0.15,흑석동
3,16,0.1875,신수동
3,13,0.23076923076923078,창전동
3,9,0.3333333333333333,대흥동
3,9,0.3333333333333333,동선동2가
3,9,0.3333333333333333,용문동
3,7,0.42857142857142855,안암동2가
3,7,0.42857142857142855,평창동
3,7,0.42857142857142855,혜화동
